Borough,Grade,Year,Demographic
BRONX,3,2006,Not SWD
BRONX,3,2006,SWD
BRONX,3,2007,Not SWD
BRONX,3,2007,SWD
BRONX,3,2008,Not SWD
BRONX,3,2008,SWD
BRONX,3,2009,Not SWD
BRONX,3,2009,SWD
BRONX,3,2010,Not SWD
BRONX,3,2010,SWD
BRONX,3,2011,Not SWD
BRONX,3,2011,SWD
BRONX,3,2012,Not SWD
BRONX,3,2012,SWD
BRONX,4,2006,Not SWD
BRONX,4,2006,SWD
BRONX,4,2007,Not SWD
BRONX,4,2007,SWD
BRONX,4,2008,Not SWD
BRONX,4,2008,SWD
BRONX,4,2009,Not SWD
BRONX,4,2009,SWD
BRONX,4,2010,Not SWD
BRONX,4,2010,SWD
BRONX,4,2011,Not SWD
BRONX,4,2011,SWD
BRONX,4,2012,Not SWD
BRONX,4,2012,SWD
BRONX,5,2006,Not SWD
BRONX,5,2006,SWD
BRONX,5,2007,Not SWD
BRONX,5,2007,SWD
BRONX,5,2008,Not SWD
BRONX,5,2008,SWD
BRONX,5,2009,Not SWD
BRONX,5,2009,SWD
BRONX,5,2010,Not SWD
BRONX,5,2010,SWD
BRONX,5,2011,Not SWD
BRONX,5,2011,SWD
BRONX,5,2012,Not SWD
BRONX,5,2012,SWD
BRONX,6,2006,Not SWD
BRONX,6,2006,SWD
BRONX,6,2007,Not SWD
BRONX,6,2007,SWD
BRONX,6,2008,Not SWD
BRONX,6,2008,SWD
BRONX,6,2009,Not SWD
BRONX,6,2009,SWD
BRONX,6,2010,Not SWD
BRONX,6,2010,SWD
BRONX,6,2011,Not SWD
BRONX,6,2011,SWD
BRONX,6,2012,Not SWD
BRONX,6,2012,SWD
BRONX,7,2006,Not SWD
BRONX,7,2006,SWD
BRONX,7,2007,Not SWD
BRONX,7,2007,SWD
BRONX,7,2008,Not SWD
BRONX,7,2008,SWD
BRONX,7,2009,Not SWD
BRONX,7,2009,SWD
BRONX,7,2010,Not SWD
BRONX,7,2010,SWD
BRONX,7,2011,Not SWD
BRONX,7,2011,SWD
BRONX,7,2012,Not SWD
BRONX,7,2012,SWD
BRONX,8,2006,Not SWD
BRONX,8,2006,SWD
BRONX,8,2007,Not SWD
BRONX,8,2007,SWD
BRONX,8,2008,Not SWD
BRONX,8,2008,SWD
BRONX,8,2009,Not SWD
BRONX,8,2009,SWD
BRONX,8,2010,Not SWD
BRONX,8,2010,SWD
BRONX,8,2011,Not SWD
BRONX,8,2011,SWD
BRONX,8,2012,Not SWD
BRONX,8,2012,SWD
BRONX,All Grades,2006,Not SWD
BRONX,All Grades,2006,SWD
BRONX,All Grades,2007,Not SWD
BRONX,All Grades,2007,SWD
BRONX,All Grades,2008,Not SWD
BRONX,All Grades,2008,SWD
BRONX,All Grades,2009,Not SWD
BRONX,All Grades,2009,SWD
BRONX,All Grades,2010,Not SWD
BRONX,All Grades,2010,SWD
BRONX,All Grades,2011,Not SWD
BRONX,All Grades,2011,SWD
BRONX,All Grades,2012,Not SWD
BRONX,All Grades,2012,SWD
BROOKLYN,3,2006,Not SWD
BROOKLYN,3,2006,SWD
BROOKLYN,3,2007,Not SWD
BROOKLYN,3,2007,SWD
BROOKLYN,3,2008,Not SWD
